250
AB,140,0,8
AM,57,42,0
CM,50,47,0
BS,13,51,0
AK,179,60,0
AC,162,62,0
EL,70,77,0
AP,93,135,43
AD,248,151,80
ER,190,165,54
BM,129,226,40
EY,45,241,12
DM,169,244,84
BH,122,313,0
AO,214,347,24
AE,192,377,96
DB,98,420,0
GP,35,436,16
CN,157,528,0
AG,210,644,41
FU,110,658,8
AI,115,696,0
AF,127,697,8
EK,211,704,25
BV,39,725,0
BK,245,731,0
FT,84,732,0
GR,52,741,0
EW,88,748,0
AJ,14,787,0
BD,100,814,1
DR,95,830,0
AH,177,849,25
BG,2,868,2
CT,145,880,26
CG,64,925,0
DI,69,932,0
JR,246,933,0
AX,196,951,0
AU,116,1049,0
BR,127,1095,0
BA,179,1119,49
AS,152,1133,0
AT,168,1142,0
BU,183,1143,0
HO,93,1150,0
BN,21,1168,4
AR,202,1201,0
FA,220,1205,26
BE,113,1209,0
FV,34,1246,0
AW,96,1286,0
BI,106,1310,24
AZ,45,1401,23
AL,191,1412,0
DL,158,1432,11
BC,42,1634,11
CB,203,1668,0
EV,32,1688,0
CI,144,1711,33
AV,35,1713,0
AN,99,1774,32
AY,81,1786,0
JV,108,1893,0
AQ,134,1928,0
CE,31,1981,0
BL,9,1992,0
CY,22,2097,8
EP,217,2103,0
GO,128,2137,8
JT,1,2167,0
HX,101,2170,43
FE,16,2177,2
IL,72,2271,0
HR,36,2280,7
CW,25,2345,0
CK,250,2367,0
IP,235,2396,0
HB,210,2504,0
BX,90,2524,0
BP,67,2574,0
BJ,152,2582,0
GQ,133,2634,41
HC,169,2652,78
BW,209,2831,0
HD,212,2957,24
FH,59,2972,29
CJ,150,3015,0
BO,3,3041,2
FM,13,3058,5
FO,204,3062,5
DG,109,3074,0
BY,109,3268,31
HU,8,3430,2
BT,116,3516,0
BF,113,3552,0
FP,225,3678,0
FY,48,3696,0
FX,10,3732,6
BQ,87,3763,0
CZ,65,3801,0
EQ,89,3924,36
EN,185,3934,0
BZ,156,3948,0
CO,168,3961,27
FC,19,3990,0
CV,172,4036,0
CP,233,4054,0
HP,246,4074,47
DK,110,4179,0
FR,113,4274,0
IH,3,4291,2
JO,234,4518,61
IS,158,4573,0
DC,142,4581,0
CS,192,4629,33
JQ,26,4661,0
IO,197,4717,0
CH,232,4866,38
FK,60,4883,13
CL,24,5057,0
IB,17,5183,0
CF,155,5188,34
JP,157,5197,0
GN,192,5282,32
EJ,118,5373,0
GJ,102,5373,38
DE,122,5451,62
CA,42,5591,0
EG,174,5779,77
EX,208,5793,0
DJ,101,5824,0
EH,60,5850,22
EM,196,5859,48
DV,141,5942,0
CD,198,6055,0
HI,117,6313,10
FZ,159,6553,73
CQ,83,6567,0
GI,24,6592,0
FB,100,6618,0
GV,220,6946,0
DA,237,7029,0
ES,7,7112,0
JH,179,7176,60
HE,32,7180,15
DO,86,7204,0
ET,14,7205,0
GX,139,7235,69
JN,28,7362,0
CX,65,7365,0
CR,83,7380,0
HZ,94,7423,39
IU,139,7526,0
CU,242,7570,73
DP,229,7686,97
JG,145,7709,0
HM,146,7793,0
GL,134,7837,35
DW,192,7930,1
EO,240,7959,0
ED,65,8019,22
EF,48,8023,0
DF,84,8034,0
HW,6,8128,0
HV,109,8152,0
DU,20,8263,0
EZ,224,8282,0
DH,180,8313,0
DX,239,8339,76
DY,203,8483,44
EA,83,8646,0
FG,92,8873,0
HA,12,9054,0
DZ,150,9316,0
EC,61,9400,17
EI,136,9472,53
GC,63,9475,11
HN,227,9588,0
FD,103,9641,0
GS,81,9984,0
DQ,108,9999,23
GF,118,10043,0
DN,245,10353,0
HF,140,10471,50
GY,197,10487,37
FN,238,10723,73
JY,69,10807,27
GB,193,10943,0
DT,122,10962,54
DS,137,11054,18
IY,95,11206,0
EU,168,11338,71
GU,15,11366,4
GA,220,11643,93
EB,58,11832,4
FS,237,12060,0
IN,32,12294,0
HJ,6,12445,0
GK,149,12706,55
HS,63,12759,0
JA,114,13279,35
IF,63,13309,5
JK,80,14165,30
GE,217,14389,13
GH,74,14445,36
FJ,85,14668,2
IR,249,14697,5
HT,107,14828,23
GD,181,15008,0
JB,88,15051,0
JM,77,15067,15
IK,7,15276,1
FW,237,15672,102
HG,37,15688,12
IQ,55,15898,0
IV,57,16099,24
FL,7,16126,0
IJ,130,16144,0
FI,14,16206,0
ID,209,16334,46
GT,104,16643,26
FQ,116,16797,0
IZ,40,17158,12
HQ,207,17503,0
GW,223,17967,101
IE,63,18185,20
IW,145,18348,0
GM,22,18488,2
JW,9,18630,1
JE,115,18724,4
JS,105,18793,18
HK,196,18797,0
HY,8,18816,0
IX,15,19031,7
IC,219,19399,102
IA,180,19409,3
IT,31,19822,0
HL,167,19866,8
JZ,181,20470,0
IG,217,20522,0
GZ,237,20651,0
JF,29,20825,0
IM,25,21404,12
JL,58,21531,0
JD,71,22927,0
JC,35,23492,10
JI,136,24479,0
JU,64,26266,25
JX,150,26340,0
