500
AB,20,0,0
AC,200,19,0
BR,429,35,0
CX,350,35,0
GS,457,47,0
AF,75,88,0
BE,201,92,0
AJ,415,140,0
AE,429,187,0
AD,331,196,0
NA,282,346,30
AO,144,369,0
AG,125,429,1
DJ,306,492,0
TA,16,522,0
AI,159,543,56
OA,96,546,29
NQ,349,580,0
AP,346,601,133
AQ,449,628,193
EI,16,652,6
DK,418,669,159
FZ,274,689,80
AK,414,745,0
CM,458,749,228
BP,243,777,48
BG,331,780,0
DL,424,815,0
CV,466,826,217
AL,439,837,103
AU,184,951,30
AH,160,985,0
AX,283,1058,0
EA,214,1075,61
DB,217,1186,48
AV,58,1211,0
AM,40,1335,0
CO,288,1384,55
AY,342,1431,0
AZ,167,1553,23
NG,41,1566,10
RI,76,1709,0
CT,441,1738,55
NZ,32,1742,3
KH,485,1843,34
GZ,381,1917,110
KJ,226,1950,0
AW,131,2062,58
BD,45,2256,16
LI,274,2269,120
PN,39,2403,4
KC,69,2442,0
BJ,340,2495,98
EQ,216,2495,0
AS,50,2642,0
AN,43,2660,8
CA,144,2665,0
BO,466,2711,0
MX,359,2736,0
CW,460,2741,0
BI,345,2773,0
OY,451,2878,0
BT,342,3032,0
CN,120,3062,48
LM,146,3168,0
DI,483,3240,0
BC,143,3332,52
AR,356,3378,0
BX,93,3386,35
AT,307,3573,0
FO,86,3576,0
BY,482,3712,214
CF,321,3905,120
GN,475,3905,0
FQ,153,3954,38
NP,436,4036,106
HR,445,4120,0
ST,245,4194,0
EZ,492,4195,0
BU,305,4296,0
IQ,242,4396,78
BQ,128,4418,52
PM,263,4457,128
TL,242,4463,119
ER,464,4591,222
NT,410,4757,32
IU,318,4782,0
BA,382,4795,0
QB,392,4884,0
IR,267,5033,0
RE,48,5064,14
DA,211,5181,22
DY,497,5365,194
LT,141,5365,0
CL,63,5446,0
PI,233,5459,43
BN,185,5514,68
BH,200,5664,0
BM,129,5765,4
BW,205,5782,17
KV,119,5804,59
BL,62,5841,25
BF,377,5882,0
CI,387,6020,0
DS,299,6138,6
EF,187,6224,46
DX,79,6266,18
DW,337,6309,120
DZ,338,6393,0
NY,288,6459,28
BS,112,6468,0
BZ,346,6491,122
DC,72,6534,0
LW,446,7192,8
PV,327,7241,0
EY,94,7245,47
IB,88,7319,3
DM,316,7432,0
JC,416,7496,0
TV,346,7518,0
BK,173,7681,0
DP,198,7681,0
CJ,135,7755,53
CY,10,7757,0
CD,363,7952,0
FS,237,7989,0
KB,433,8227,49
SD,167,8440,17
DE,431,8940,7
GI,155,9003,0
MJ,27,9070,0
FG,423,9087,0
GE,281,9300,0
BV,482,9646,0
QC,63,9765,30
DT,47,9790,20
CE,488,9957,0
CK,430,9999,0
QM,173,10238,82
DU,425,10300,0
NW,45,10763,0
EJ,48,10997,24
EN,317,11103,0
CH,354,11149,0
QY,277,11236,96
LS,255,11265,84
GJ,70,11389,0
JT,33,11561,0
FI,339,11574,115
GV,130,11632,0
CU,231,11650,0
QI,16,11701,0
FX,147,11705,44
RV,156,11882,45
LC,119,12003,0
TF,106,12030,9
CB,199,12137,73
EP,77,12204,0
HQ,169,12343,45
JN,138,12345,6
IZ,94,12408,0
CG,328,12411,0
CQ,255,12584,0
HU,38,12804,0
KI,55,12848,13
FH,413,13207,0
MO,194,13396,68
MY,125,13444,61
CZ,104,13561,0
TH,147,13626,0
PA,384,13859,0
FB,88,14201,10
CS,198,14329,26
CR,314,14349,136
HM,361,14665,79
PD,200,14835,6
TG,167,15135,0
DF,328,15175,0
RY,335,15214,0
GF,129,15410,0
HX,138,15488,62
LJ,471,15721,181
KX,422,15769,10
CP,176,15777,81
FV,332,16029,0
IC,128,16092,27
HY,76,16125,33
PJ,334,16296,0
